,Geographic Area,"April 1, 2000",2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,"April 1, 2010","July 1, 2010"
22,"Coosa County, Alabama",11842,11844,11848.0,11740.0,11732.0,11560.0,11467.0,11451.0,11439.0,11493.0,11410.0,11539,11556
23,"Covington County, Alabama",37640,37514,37069.0,36901.0,36860.0,36806.0,37204.0,37441.0,37631.0,37545.0,37648.0,37765,37776
24,"Crenshaw County, Alabama",13657,13692,13724.0,13635.0,13652.0,13727.0,13699.0,13880.0,13956.0,13922.0,14024.0,13906,13857
25,"Cullman County, Alabama",77426,77473,77415.0,77443.0,77657.0,78131.0,78692.0,79044.0,79576.0,80273.0,80351.0,80406,80459
26,"Dale County, Alabama",49120,49124,49254.0,49373.0,49215.0,49245.0,49050.0,49077.0,49488.0,49871.0,49854.0,50251,50358
27,"Dallas County, Alabama",46361,46198,46132.0,45377.0,45170.0,44795.0,44434.0,44323.0,44194.0,44265.0,43759.0,43820,43790
28,"DeKalb County, Alabama",64436,64650,65678.0,65861.0,66530.0,67260.0,67794.0,68495.0,69450.0,70228.0,70864.0,71109,71151
29,"Elmore County, Alabama",65819,66160,67459.0,68659.0,69935.0,71018.0,72978.0,75246.0,77124.0,77698.0,78632.0,79303,79549
30,"Escambia County, Alabama",38452,38325,38197.0,38035.0,37796.0,37713.0,37601.0,37673.0,37839.0,37929.0,38249.0,38319,38292
31,"Etowah County, Alabama",103448,103286,102976.0,102988.0,103025.0,103080.0,103174.0,103528.0,103893.0,104206.0,104239.0,104430,104462
32,"Fayette County, Alabama",18522,18512,18384.0,18278.0,18178.0,18022.0,18030.0,17767.0,17523.0,17541.0,17310.0,17241,17219
33,"Franklin County, Alabama",31257,31242,31190.0,30891.0,30874.0,30768.0,30968.0,31134.0,31004.0,31459.0,31589.0,31704,31729
34,"Geneva County, Alabama",25700,25740,25565.0,25580.0,25702.0,25772.0,25988.0,26271.0,26322.0,26646.0,26653.0,26790,26815
35,"Greene County, Alabama",9923,9902,9866.0,9893.0,9805.0,9686.0,9675.0,9361.0,9385.0,9359.0,9182.0,9045,8987
36,"Hale County, Alabama",18270,18194,17868.0,17376.0,17116.0,16765.0,16622.0,16427.0,16418.0,16260.0,16025.0,15760,15708
37,"Henry County, Alabama",16297,16341,16358.0,16447.0,16563.0,16692.0,16752.0,16953.0,17108.0,17129.0,17243.0,17302,17307
38,"Houston County, Alabama",88831,88943,89490.0,89940.0,91321.0,92593.0,93903.0,95846.0,97727.0,99183.0,100500.0,101547,101888
39,"Jackson County, Alabama",53871,53979,53997.0,53758.0,53711.0,53525.0,53332.0,53483.0,53333.0,53525.0,53461.0,53227,53128
40,"Jefferson County, Alabama",662041,662033,660197.0,657518.0,657513.0,656023.0,654919.0,655893.0,655163.0,656510.0,658441.0,658466,658555
41,"Lamar County, Alabama",15902,15923,15632.0,15446.0,15258.0,15075.0,15009.0,14816.0,14901.0,14799.0,14689.0,14564,14508
42,"Lauderdale County, Alabama",87952,88039,87791.0,87627.0,88103.0,88732.0,89358.0,90294.0,91107.0,92202.0,92526.0,92709,92679
43,"Lawrence County, Alabama",34834,34874,34870.0,34698.0,34488.0,34318.0,34435.0,34028.0,34293.0,34196.0,34315.0,34339,34342
44,"Lee County, Alabama",115014,115430,116819.0,118392.0,120071.0,122274.0,126133.0,129247.0,131934.0,134524.0,138566.0,140247,140780
45,"Limestone County, Alabama",65668,65966,66936.0,67677.0,68578.0,69593.0,71303.0,73651.0,76063.0,78835.0,81326.0,82782,83193
46,"Lowndes County, Alabama",13483,13471,13329.0,13231.0,12996.0,12623.0,12397.0,12124.0,11973.0,11813.0,11486.0,11299,11259
47,"Macon County, Alabama",24086,24047,23925.0,23563.0,23110.0,22685.0,22388.0,22227.0,21942.0,21597.0,21190.0,21452,21540
48,"Madison County, Alabama",276998,278006,281517.0,286439.0,291342.0,295655.0,301474.0,309170.0,315859.0,323526.0,330856.0,334811,335988
49,"Marengo County, Alabama",22533,22564,22203.0,22217.0,22025.0,21777.0,21569.0,21531.0,21475.0,21331.0,21170.0,21027,20975
50,"Marion County, Alabama",31162,31137,30777.0,30608.0,30554.0,30516.0,30494.0,30779.0,30849.0,30918.0,30646.0,30776,30770
51,"Marshall County, Alabama",82303,82429,82477.0,83417.0,84348.0,85131.0,86516.0,88209.0,89605.0,91072.0,92213.0,93019,93235
52,"Mobile County, Alabama",399887,400073,400129.0,398549.0,398082.0,397959.0,398942.0,402916.0,405715.0,409196.0,411994.0,412992,413277
53,"Monroe County, Alabama",24320,24319,24120.0,24022.0,23853.0,23769.0,23683.0,23602.0,23437.0,23393.0,23218.0,23068,22994
54,"Montgomery County, Alabama",223518,223428,223048.0,223185.0,222680.0,223002.0,223608.0,227291.0,227888.0,227461.0,227607.0,229363,229844
55,"Morgan County, Alabama",111076,111221,111682.0,111766.0,112898.0,113006.0,113964.0,115491.0,116397.0,117694.0,118954.0,119490,119626
56,"Perry County, Alabama",11876,11809,11645.0,11549.0,11301.0,11153.0,10881.0,10677.0,10774.0,10722.0,10690.0,10591,10556
57,"Pickens County, Alabama",20914,20881,20873.0,20835.0,20527.0,20380.0,20192.0,20128.0,19989.0,19951.0,19814.0,19746,19705
58,"Pike County, Alabama",29688,29748,29844.0,29695.0,30050.0,30593.0,30772.0,31309.0,31761.0,32149.0,32560.0,32899,32957
59,"Randolph County, Alabama",22344,22377,22465.0,22464.0,22359.0,22525.0,22658.0,22695.0,22662.0,22946.0,22864.0,22913,22916
60,"Russell County, Alabama",49854,49805,49622.0,49489.0,49065.0,49498.0,49731.0,50459.0,51074.0,51434.0,52162.0,52947,53188
61,"St. Clair County, Alabama",64740,65080,66093.0,67274.0,68629.0,70416.0,72596.0,75948.0,79348.0,81223.0,83009.0,83593,83761
62,"Shelby County, Alabama",143429,144674,149358.0,153976.0,159704.0,165757.0,171691.0,178841.0,183491.0,188534.0,192708.0,195085,195828
63,"Sumter County, Alabama",14772,14746,14630.0,14376.0,14329.0,14324.0,14143.0,14059.0,13926.0,13882.0,13746.0,13763,13744
64,"Talladega County, Alabama",80734,80772,80939.0,81095.0,80900.0,81139.0,81546.0,81991.0,82226.0,82735.0,82674.0,82291,82110
65,"Tallapoosa County, Alabama",41771,41689,41406.0,41044.0,40898.0,40904.0,40857.0,41243.0,41414.0,41668.0,41831.0,41616,41516
66,"Tuscaloosa County, Alabama",164932,165414,166951.0,168154.0,169725.0,171960.0,175731.0,181383.0,184350.0,188093.0,192792.0,194656,195036
67,"Walker County, Alabama",70688,70602,70364.0,69765.0,69105.0,68629.0,68500.0,68234.0,67695.0,67835.0,67347.0,67023,66947
68,"Washington County, Alabama",18077,18101,17933.0,17895.0,17910.0,17801.0,17690.0,17705.0,17491.0,17496.0,17493.0,17581,17597
69,"Wilcox County, Alabama",12995,12939,12806.0,12778.0,12600.0,12493.0,12369.0,12221.0,12208.0,12148.0,11870.0,11670,11615
70,"Winston County, Alabama",24806,24857,24597.0,24600.0,24576.0,24614.0,24629.0,24796.0,24858.0,24696.0,24691.0,24484,24395
4,"Aleutians East Borough, Alaska",2697,2693,2590.0,2734.0,2732.0,2727.0,2787.0,2794.0,3012.0,2991.0,3084.0,3141,3155
5,"Aleutians West Census Area, Alaska",5464,5470,5501.0,5472.0,5709.0,5798.0,5913.0,5658.0,5466.0,5393.0,5537.0,5561,5558
6,"Anchorage Municipality, Alaska",260299,260816,264274.0,268229.0,270568.0,274484.0,276494.0,280085.0,278792.0,281554.0,287677.0,291826,293227
7,"Bethel Census Area, Alaska",16046,16080,16171.0,16414.0,16517.0,16603.0,16728.0,16755.0,16723.0,16762.0,16860.0,17013,17090
8,"Bristol Bay Borough, Alaska",1258,1232,1196.0,1166.0,1140.0,1144.0,1171.0,1111.0,1076.0,1040.0,976.0,997,1001
9,"Denali Borough, Alaska",1893,1890,1850.0,1862.0,1825.0,1877.0,1834.0,1837.0,1803.0,1803.0,1817.0,1826,1835
10,"Dillingham Census Area, Alaska",4922,4916,4840.0,4900.0,4828.0,4850.0,4841.0,4833.0,4832.0,4769.0,4776.0,4847,4877
11,"Fairbanks North Star Borough, Alaska",82849,83005,84814.0,86095.0,86885.0,89043.0,90431.0,90545.0,93545.0,94552.0,95238.0,97581,98314
12,"Haines Borough, Alaska",2392,2399,2334.0,2325.0,2337.0,2281.0,2280.0,2300.0,2379.0,2404.0,2486.0,2508,2512
13,"Hoonah-Angoon Census Area, Alaska",2574,2562,2538.0,2479.0,2378.0,2331.0,2316.0,2271.0,2242.0,2225.0,2144.0,2150,2151
14,"Juneau City and Borough, Alaska",30704,30668,30502.0,30712.0,30993.0,31103.0,31003.0,30808.0,30682.0,31110.0,30857.0,31275,31416
15,"Kenai Peninsula Borough, Alaska",49673,49618,49986.0,50804.0,50963.0,51404.0,51590.0,52253.0,53272.0,53655.0,54796.0,55400,55610
16,"Ketchikan Gateway Borough, Alaska",14074,14000,13796.0,13599.0,13335.0,13244.0,13305.0,13492.0,13341.0,13326.0,13294.0,13477,13529
17,"Kodiak Island Borough, Alaska",13916,13983,13748.0,13651.0,13239.0,13206.0,13105.0,13184.0,13159.0,13262.0,13505.0,13592,13633
18,"Lake and Peninsula Borough, Alaska",1823,1814,1715.0,1621.0,1626.0,1644.0,1639.0,1624.0,1629.0,1606.0,1612.0,1631,1633
19,"Matanuska-Susitna Borough, Alaska",59318,59802,61807.0,64353.0,67162.0,70761.0,74409.0,78633.0,81402.0,84079.0,86885.0,88995,89737
20,"Nome Census Area, Alaska",9196,9152,9167.0,9161.0,9210.0,9351.0,9338.0,9235.0,9246.0,9231.0,9313.0,9492,9552
21,"North Slope Borough, Alaska",7385,7420,7530.0,7728.0,7968.0,8046.0,8190.0,8315.0,8519.0,8841.0,9105.0,9430,9480
22,"Northwest Arctic Borough, Alaska",7208,7226,7251.0,7252.0,7310.0,7397.0,7416.0,7467.0,7440.0,7466.0,7467.0,7523,7543
23,"Petersburg Census Area, Alaska",4256,4249,4198.0,4112.0,4022.0,4059.0,3959.0,3886.0,3898.0,3817.0,3775.0,3815,3828
24,"Prince of Wales-Hyder Census Area, Alaska",6124,6098,5887.0,5675.0,5650.0,5614.0,5534.0,5574.0,5457.0,5448.0,5465.0,5559,5592
25,"Sitka City and Borough, Alaska",8835,8845,8727.0,8874.0,8881.0,8890.0,8994.0,9046.0,8851.0,8835.0,8844.0,8881,8892
26,"Skagway Municipality, Alaska",860,868,868.0,865.0,895.0,934.0,949.0,946.0,955.0,967.0,975.0,968,965
27,"Southeast Fairbanks Census Area, Alaska",6174,6177,5705.0,5672.0,5772.0,6022.0,6530.0,6817.0,6945.0,6904.0,6955.0,7029,7054
28,"Valdez-Cordova Census Area, Alaska",10195,10210,10114.0,10061.0,9996.0,9990.0,9914.0,9828.0,9572.0,9458.0,9492.0,9636,9680
29,"Wade Hampton Census Area, Alaska",7028,7033,7051.0,7103.0,7201.0,7330.0,7313.0,7292.0,7372.0,7392.0,7469.0,7459,7464
30,"Wrangell City and Borough, Alaska",2452,2452,2426.0,2382.0,2347.0,2288.0,2298.0,2309.0,2322.0,2353.0,2331.0,2369,2375
31,"Yakutat City and Borough, Alaska",808,796,764.0,702.0,673.0,647.0,665.0,642.0,656.0,627.0,665.0,662,660
32,"Yukon-Koyukuk Census Area, Alaska",6510,6489,6364.0,6334.0,6252.0,6218.0,6000.0,5762.0,5712.0,5585.0,5495.0,5588,5622
4,"Apache County, Arizona",69430,69507,67863.0,67319.0,68072.0,68161.0,68521.0,69390.0,69602.0,69883.0,71008.0,71518,71676
5,"Cochise County, Arizona",117743,118132,118798.0,119847.0,120638.0,123234.0,125786.0,127241.0,128206.0,129023.0,130081.0,131346,131789
6,"Coconino County, Arizona",116320,116773,118283.0,121308.0,122882.0,125117.0,127025.0,128695.0,130442.0,131853.0,133477.0,134421,134651
7,"Gila County, Arizona",51298,51332,51274.0,51478.0,51337.0,51423.0,51655.0,52541.0,53252.0,53437.0,53561.0,53597,53569
8,"Graham County, Arizona",33475,33511,33356.0,33224.0,32985.0,32703.0,32964.0,33701.0,35175.0,36639.0,37525.0,37220,37110
9,"Greenlee County, Arizona",8539,8547,8349.0,7831.0,7567.0,7549.0,7595.0,7838.0,8205.0,8561.0,8635.0,8437,8353
10,"La Paz County, Arizona",19670,19611,19580.0,19464.0,19722.0,19979.0,20379.0,20573.0,20647.0,20555.0,20514.0,20489,20458
11,"Maricopa County, Arizona",3072415,3092197,3175989.0,3255388.0,3328468.0,3417860.0,3538988.0,3642884.0,3711954.0,3771061.0,3803779.0,3817117,3827371
12,"Mohave County, Arizona",154981,156215,160312.0,166155.0,172633.0,180521.0,188773.0,196168.0,199760.0,200078.0,199696.0,200186,200181
13,"Navajo County, Arizona",97452,97689,97849.0,100123.0,101529.0,102774.0,104184.0,105624.0,106927.0,107626.0,107571.0,107449,107551
14,"Pima County, Arizona",843702,848019,859280.0,874267.0,885893.0,901342.0,920298.0,940930.0,955869.0,967778.0,975580.0,980263,982154
15,"Pinal County, Arizona",179469,181280,187747.0,197082.0,207920.0,219472.0,235708.0,271328.0,306174.0,335311.0,349830.0,375770,383842
16,"Santa Cruz County, Arizona",38381,38589,39288.0,40009.0,40625.0,41623.0,42961.0,44298.0,45338.0,46144.0,47011.0,47420,47462
17,"Yavapai County, Arizona",167377,168608,172636.0,177362.0,182090.0,187822.0,195424.0,204082.0,208773.0,211211.0,211172.0,211033,211061
18,"Yuma County, Arizona",159995,160576,162873.0,165398.0,168003.0,172824.0,178816.0,183848.0,187357.0,191202.0,193714.0,195751,196509
4,"Arkansas County, Arkansas",20751,20776,20593.0,20351.0,19981.0,19967.0,19954.0,19785.0,19434.0,19275.0,19134.0,19019,18978
5,"Ashley County, Arkansas",24217,24179,23824.0,23745.0,23469.0,23156.0,22770.0,22501.0,22229.0,22148.0,21920.0,21853,21832
6,"Baxter County, Arkansas",38365,38446,38331.0,38506.0,38772.0,39334.0,39992.0,40867.0,41491.0,41519.0,41561.0,41513,41503
7,"Benton County, Arkansas",153323,154744,159258.0,164926.0,171742.0,179010.0,186756.0,195569.0,203664.0,210807.0,216620.0,221339,222894
8,"Boone County, Arkansas",33940,34051,34258.0,34448.0,34554.0,34900.0,35492.0,36056.0,36759.0,36974.0,36844.0,36903,36918
9,"Bradley County, Arkansas",12618,12597,12427.0,12340.0,12263.0,12107.0,12012.0,11778.0,11737.0,11643.0,11538.0,11508,11496
10,"Calhoun County, Arkansas",5731,5709,5599.0,5655.0,5646.0,5591.0,5675.0,5693.0,5659.0,5528.0,5421.0,5368,5342
11,"Carroll County, Arkansas",25345,25369,25559.0,25796.0,26033.0,26052.0,26435.0,26615.0,26699.0,26822.0,27158.0,27446,27562
12,"Chicot County, Arkansas",14101,14062,13758.0,13382.0,13173.0,12879.0,12729.0,12516.0,12313.0,12050.0,11851.0,11800,11782
13,"Clark County, Arkansas",23541,23474,23516.0,23334.0,23032.0,22904.0,22800.0,22924.0,23139.0,23272.0,23100.0,22995,22979
14,"Clay County, Arkansas",17594,17537,17307.0,17083.0,16951.0,16827.0,16790.0,16679.0,16464.0,16209.0,16056.0,16083,16077
15,"Cleburne County, Arkansas",24005,24100,24204.0,24375.0,24711.0,25018.0,25274.0,25430.0,25545.0,25623.0,25870.0,25970,25991
16,"Cleveland County, Arkansas",8562,8536,8637.0,8634.0,8694.0,8744.0,8859.0,8829.0,8896.0,8775.0,8649.0,8689,8695
17,"Columbia County, Arkansas",25612,25599,25424.0,25362.0,25106.0,25154.0,25025.0,25133.0,24847.0,24666.0,24622.0,24552,24511
18,"Conway County, Arkansas",20320,20312,20362.0,20366.0,20461.0,20519.0,20683.0,20753.0,20992.0,21025.0,21257.0,21273,21266
19,"Craighead County, Arkansas",82139,82519,83276.0,83978.0,85000.0,86331.0,87512.0,89725.0,91350.0,93316.0,95482.0,96443,96771
20,"Crawford County, Arkansas",53252,53404,54273.0,55026.0,55836.0,56832.0,57779.0,59126.0,60210.0,60933.0,61595.0,61948,62026
21,"Crittenden County, Arkansas",50855,50915,50919.0,50622.0,50252.0,50266.0,50244.0,50360.0,50438.0,50699.0,50929.0,50902,50937
22,"Cross County, Arkansas",19529,19458,19382.0,19106.0,18896.0,18782.0,18883.0,18525.0,18172.0,18200.0,17971.0,17870,17851
23,"Dallas County, Arkansas",9196,9146,9005.0,8826.0,8740.0,8740.0,8589.0,8477.0,8367.0,8282.0,8188.0,8116,8086
24,"Desha County, Arkansas",15351,15302,14958.0,14583.0,14405.0,14270.0,13992.0,13870.0,13523.0,13273.0,13108.0,13008,12979
25,"Drew County, Arkansas",18690,18670,18660.0,18410.0,18537.0,18595.0,18618.0,18705.0,18535.0,18481.0,18495.0,18509,18515
26,"Faulkner County, Arkansas",86036,86501,88830.0,90624.0,93618.0,96162.0,99192.0,102969.0,105637.0,108477.0,110813.0,113237,113980
27,"Franklin County, Arkansas",17766,17737,17830.0,17856.0,17913.0,17955.0,18073.0,18151.0,18237.0,18229.0,18145.0,18125,18116
28,"Fulton County, Arkansas",11627,11656,11676.0,11737.0,11831.0,12079.0,12127.0,12119.0,12354.0,12382.0,12231.0,12245,12229
29,"Garland County, Arkansas",88122,88311,89032.0,89630.0,90483.0,91084.0,92096.0,94077.0,94753.0,95636.0,95840.0,96024,96145
30,"Grant County, Arkansas",16457,16476,16608.0,16637.0,16731.0,17026.0,17244.0,17442.0,17483.0,17718.0,17751.0,17853,17889
31,"Greene County, Arkansas",37383,37563,37934.0,38229.0,38604.0,39046.0,39599.0,40469.0,40918.0,41286.0,41723.0,42090,42192
32,"Hempstead County, Arkansas",23597,23620,23318.0,23199.0,23090.0,22971.0,22924.0,22957.0,22918.0,22624.0,22615.0,22609,22620
33,"Hot Spring County, Arkansas",30413,30480,30615.0,30877.0,30821.0,31071.0,31565.0,32248.0,32631.0,32737.0,32797.0,32923,32943
34,"Howard County, Arkansas",14304,14233,14146.0,14070.0,14098.0,13991.0,14025.0,13843.0,13680.0,13804.0,13741.0,13789,13820
35,"Independence County, Arkansas",34246,34333,34374.0,34512.0,34652.0,34989.0,35155.0,35426.0,35690.0,35859.0,36259.0,36647,36738
36,"Izard County, Arkansas",13261,13298,13289.0,13273.0,13467.0,13512.0,13524.0,13583.0,13552.0,13681.0,13679.0,13696,13683
37,"Jackson County, Arkansas",18420,18403,18029.0,18054.0,17914.0,18159.0,18269.0,18092.0,18098.0,17966.0,17945.0,17997,17974
38,"Jefferson County, Arkansas",84295,84171,83322.0,82760.0,82193.0,81455.0,80562.0,79977.0,78788.0,78354.0,77759.0,77435,77358
39,"Johnson County, Arkansas",22779,22813,22977.0,23293.0,23587.0,23850.0,24173.0,24596.0,25109.0,25236.0,25374.0,25540,25585
40,"Lafayette County, Arkansas",8550,8539,8374.0,8240.0,8244.0,8153.0,8042.0,7879.0,7845.0,7806.0,7654.0,7645,7637
41,"Lawrence County, Arkansas",17762,17672,17749.0,17688.0,17605.0,17541.0,17343.0,17193.0,17286.0,17460.0,17336.0,17415,17424
42,"Lee County, Arkansas",12578,12527,12358.0,12151.0,11732.0,11512.0,11370.0,11067.0,10823.0,10786.0,10458.0,10424,10412
43,"Lincoln County, Arkansas",14482,14477,14505.0,14571.0,14578.0,14466.0,14496.0,14315.0,14237.0,14176.0,14185.0,14134,14104
44,"Little River County, Arkansas",13628,13613,13334.0,13413.0,13361.0,13176.0,13114.0,13147.0,13107.0,13099.0,13228.0,13171,13143
45,"Logan County, Arkansas",22480,22500,22385.0,22454.0,22707.0,22682.0,22661.0,22689.0,22758.0,22699.0,22429.0,22353,22325
46,"Lonoke County, Arkansas",52849,53153,54043.0,55184.0,56452.0,58449.0,60225.0,62648.0,64379.0,66086.0,67481.0,68356,68634
47,"Madison County, Arkansas",14228,14272,14253.0,14137.0,14186.0,14437.0,14714.0,15156.0,15353.0,15619.0,15673.0,15717,15735
48,"Marion County, Arkansas",16147,16162,16232.0,16149.0,16133.0,16293.0,16464.0,16759.0,16795.0,16996.0,16721.0,16653,16624
49,"Miller County, Arkansas",40455,40436,40606.0,40923.0,41382.0,41765.0,42181.0,42669.0,42710.0,43047.0,43284.0,43462,43529
50,"Mississippi County, Arkansas",51999,51849,51017.0,49957.0,48554.0,47777.0,47399.0,46983.0,46850.0,47037.0,46857.0,46480,46349
51,"Monroe County, Arkansas",10255,10182,9947.0,9700.0,9579.0,9287.0,9176.0,8949.0,8670.0,8456.0,8286.0,8149,8099
52,"Montgomery County, Arkansas",9222,9263,9221.0,9150.0,9239.0,9334.0,9358.0,9437.0,9478.0,9573.0,9490.0,9487,9472
53,"Nevada County, Arkansas",9940,9895,9774.0,9652.0,9590.0,9535.0,9479.0,9383.0,9267.0,9062.0,9058.0,8997,8976
54,"Newton County, Arkansas",8603,8642,8534.0,8534.0,8613.0,8503.0,8467.0,8474.0,8428.0,8423.0,8311.0,8330,8334
55,"Ouachita County, Arkansas",28776,28677,28088.0,27701.0,27488.0,27107.0,26934.0,26656.0,26448.0,26202.0,26024.0,26120,26134
56,"Perry County, Arkansas",10199,10223,10306.0,10363.0,10346.0,10352.0,10356.0,10352.0,10496.0,10441.0,10443.0,10445,10441
57,"Phillips County, Arkansas",26438,26290,25821.0,25067.0,24520.0,24174.0,23946.0,23244.0,22775.0,22411.0,21976.0,21757,21655
58,"Pike County, Arkansas",11301,11332,11306.0,11321.0,11243.0,11246.0,11216.0,11262.0,11342.0,11283.0,11260.0,11291,11285
59,"Poinsett County, Arkansas",25617,25617,25498.0,25213.0,25177.0,25039.0,25058.0,24904.0,24813.0,24599.0,24632.0,24583,24568
60,"Polk County, Arkansas",20234,20268,20189.0,20243.0,20199.0,20057.0,20203.0,20422.0,20377.0,20388.0,20583.0,20662,20680
61,"Pope County, Arkansas",54492,54541,54986.0,55405.0,55622.0,56606.0,57535.0,58809.0,59793.0,60528.0,61302.0,61754,61867
62,"Prairie County, Arkansas",9523,9491,9505.0,9406.0,9303.0,9111.0,9046.0,8989.0,8951.0,8806.0,8754.0,8715,8696
63,"Pulaski County, Arkansas",361370,361876,362866.0,364327.0,365258.0,366608.0,368274.0,371647.0,373403.0,376567.0,380053.0,382748,383632
64,"Randolph County, Arkansas",18191,18155,18177.0,18115.0,18005.0,18207.0,18086.0,18185.0,18054.0,18072.0,17964.0,17969,17969
65,"St. Francis County, Arkansas",29330,29325,29072.0,29023.0,29170.0,28905.0,28639.0,28496.0,28394.0,28110.0,28336.0,28258,28174
66,"Saline County, Arkansas",83559,84084,85473.0,87031.0,88627.0,90961.0,93493.0,96661.0,100043.0,102599.0,105362.0,107118,107532
67,"Scott County, Arkansas",10986,10980,10950.0,10930.0,10936.0,10872.0,10976.0,11239.0,11287.0,11227.0,11097.0,11233,11278
68,"Searcy County, Arkansas",8240,8246,8220.0,8150.0,7996.0,8046.0,8110.0,8210.0,8275.0,8274.0,8190.0,8195,8187
69,"Sebastian County, Arkansas",115101,115578,116488.0,117200.0,117725.0,118168.0,119426.0,121492.0,122946.0,123762.0,125116.0,125744,125920
70,"Sevier County, Arkansas",15750,15747,15586.0,15702.0,15824.0,16041.0,16298.0,16273.0,16347.0,16606.0,16812.0,17058,17142
71,"Sharp County, Arkansas",17120,17138,17244.0,17276.0,17381.0,17353.0,17391.0,17629.0,17506.0,17416.0,17373.0,17264,17236
72,"Stone County, Arkansas",11496,11519,11484.0,11607.0,11704.0,11768.0,11909.0,12262.0,12230.0,12370.0,12340.0,12394,12403
73,"Union County, Arkansas",45633,45532,44894.0,44769.0,44281.0,43747.0,43134.0,42914.0,42267.0,42222.0,41944.0,41639,41554
74,"Van Buren County, Arkansas",16182,16221,16332.0,16322.0,16506.0,16664.0,16869.0,17027.0,17226.0,17373.0,17293.0,17295,17265
75,"Washington County, Arkansas",157805,158851,163151.0,166859.0,171424.0,176837.0,183799.0,190314.0,194526.0,197223.0,199774.0,203065,204123
76,"White County, Arkansas",67164,67382,68273.0,68796.0,69389.0,70403.0,71355.0,72728.0,73573.0,74848.0,76284.0,77076,77350
77,"Woodruff County, Arkansas",8738,8686,8675.0,8446.0,8284.0,8102.0,8023.0,7877.0,7648.0,7458.0,7294.0,7260,7249
78,"Yell County, Arkansas",21127,21147,21145.0,21147.0,21197.0,21074.0,21141.0,21556.0,21633.0,21935.0,22145.0,22185,22206
4,"Alameda County, California",1443705,1449840,1469484.0,1462106.0,1454163.0,1445721.0,1441545.0,1444484.0,1455715.0,1477208.0,1498539.0,1510271,1513952
5,"Alpine County, California",1206,1209,1196.0,1237.0,1233.0,1263.0,1219.0,1276.0,1274.0,1202.0,1197.0,1175,1163
6,"Amador County, California",35101,35153,35697.0,36561.0,36994.0,37400.0,38040.0,38353.0,38756.0,38248.0,38238.0,38091,38042
7,"Butte County, California",203125,203807,206193.0,209120.0,211481.0,213065.0,214752.0,216824.0,217469.0,219034.0,219777.0,220000,220072
8,"Calaveras County, California",40535,40645,41304.0,42380.0,43755.0,44530.0,45295.0,46045.0,46268.0,46265.0,45900.0,45578,45490
9,"Colusa County, California",18799,18817,19022.0,19232.0,19568.0,20207.0,20540.0,20890.0,21075.0,21134.0,21250.0,21419,21474
